id,title,url,action,status
16,Cost Segregation for Beach Rental Properties,https://www.aetaxadvisors.com/blog/cost-segregation-beach-rentals/,new,implemented
17,Cost Segregation for Furnished Mid-Term Rentals,https://www.aetaxadvisors.com/blog/mid-term-rental-tax-strategy-30-day/,expanded,implemented
18,Cost Segregation for Newly Constructed Rentals,https://www.aetaxadvisors.com/blog/cost-segregation-new-construction-vs-existing/,expanded,implemented
19,Cost Segregation After a Rental Renovation,https://www.aetaxadvisors.com/blog/cost-segregation-value-add-multifamily-renovation/,expanded,implemented
20,Cost Segregation for a Residential Rental Portfolio,https://www.aetaxadvisors.com/blog/cost-segregation-single-family-rental-portfolios/,expanded,implemented
21,Short-Term Rental Tax Planning: A Practical Guide,https://www.aetaxadvisors.com/short-term-rental-tax-strategy/,rewritten,implemented
22,The Seven-Day Average-Stay Rule Explained,https://www.aetaxadvisors.com/material-participation-short-term-rental-7-day-rule/,expanded,implemented
23,Material Participation for Short-Term Rental Owners,https://www.aetaxadvisors.com/str-material-participation/,rewritten,implemented
24,How to Document Short-Term Rental Participation Hours,https://www.aetaxadvisors.com/blog/how-to-track-material-participation-hours-for-str/,expanded,implemented
25,Can You Use a Property Manager and Still Materially Participate?,https://www.aetaxadvisors.com/blog/str-property-manager-co-host-material-participation/,expanded,implemented
26,Spousal Participation in a Short-Term Rental,https://www.aetaxadvisors.com/blog/str-spouse-cohost-material-participation-hours/,expanded,implemented
27,Personal Use of a Short-Term Rental,https://www.aetaxadvisors.com/blog/rental-property-partial-personal-use/,expanded,implemented
28,Buying and Furnishing an STR Near Year-End,https://www.aetaxadvisors.com/blog/str-placed-in-service-year-end-timeline/,expanded,implemented
29,Short-Term Rental Tax Planning for W-2 Earners,https://www.aetaxadvisors.com/short-term-rental-tax-loophole-2026/,rewritten,implemented
30,First-Year Short-Term Rental Tax Checklist,https://www.aetaxadvisors.com/blog/first-year-investor-guide-tax-optimized-real-estate/,expanded,implemented
31,Long-Term Rental Tax Planning: A Practical Guide,https://www.aetaxadvisors.com/long-term-rental-tax-planning/,expanded,implemented
32,Why Rental Losses May Not Reduce Your Current Tax Bill,https://www.aetaxadvisors.com/rental-losses-and-passive-activity-rules-why-your-tax-loss-might-not-reduce-taxes-yet/,expanded,implemented
33,Real Estate Professional Status: Qualification and Documentation,https://www.aetaxadvisors.com/reps-real-estate-professional-status/,expanded,implemented
34,Rental Real Estate Grouping Elections,https://www.aetaxadvisors.com/blog/grouping-elections-real-estate-irc-469/,expanded,implemented
35,What Happens to Suspended Rental Losses?,https://www.aetaxadvisors.com/tax-loss-carryforward-prior-year-losses-reduce-taxes/,expanded,implemented
36,Repair or Improvement? Rental Property Expense Decisions,https://www.aetaxadvisors.com/blog/what-repairs-vs-improvements-can-i-deduct-on-rental-property/,expanded,implemented
37,Converting a Primary Residence Into a Rental,https://www.aetaxadvisors.com/blog/convert-primary-residence-to-rental-property/,expanded,implemented
38,Renting a Property to Family Members,https://www.aetaxadvisors.com/blog/rental-property-family-below-market-rent/,expanded,implemented
39,Tax Planning When You Own Both STRs and LTRs,https://www.aetaxadvisors.com/str-vs-ltr-tax-treatment/,rewritten,implemented
40,Year-End Tax Checklist for Long-Term Rental Owners,https://www.aetaxadvisors.com/blog/year-end-tax-planning-checklist-real-estate-investors/,expanded,implemented
41,Missed Rental Depreciation: Form 3115 or an Amended Return?,https://www.aetaxadvisors.com/amended-return-vs-form-3115/,expanded,implemented
42,What Is a Section 481(a) Depreciation Adjustment?,https://www.aetaxadvisors.com/catch-up-depreciation-section-481a/,expanded,implemented
43,Cost Segregation on a Property Purchased Years Ago,https://www.aetaxadvisors.com/blog/can-i-do-a-cost-segregation-study-on-a-property-i-already-own/,rewritten,implemented
44,Your Rental Depreciation Schedule Is Missing: What Next?,https://www.aetaxadvisors.com/blog/missing-rental-depreciation-schedule/,new,implemented
45,Correcting the Wrong Depreciable Basis on a Rental,https://www.aetaxadvisors.com/wrong-rental-depreciation-basis/,expanded,implemented
46,Correcting Land and Building Allocations,https://www.aetaxadvisors.com/blog/rental-property-land-value-allocation/,expanded,implemented
47,Preventing Double-Counted Furniture and Improvements,https://www.aetaxadvisors.com/blog/rental-furniture-double-counted-depreciation/,new,implemented
48,What a Prior-Year Tax Return Review Can Find,https://www.aetaxadvisors.com/blog/amendment-recovery-what-a-three-year-lookback-finds/,expanded,implemented
49,How Far Back Can a Tax Return Be Corrected?,https://www.aetaxadvisors.com/blog/statute-of-limitations-tax-amendments/,expanded,implemented
50,What Happens If You Never Claimed Rental Depreciation?,https://www.aetaxadvisors.com/blog/what-happens-if-i-never-took-depreciation-on-my-rental/,expanded,implemented
51,Which Rental Purchase Closing Costs Affect Tax Basis?,https://www.aetaxadvisors.com/blog/rental-property-closing-costs-basis/,expanded,implemented
52,How Seller Credits Affect Rental Property Basis,https://www.aetaxadvisors.com/blog/rental-purchase-seller-credits-basis/,expanded,implemented
53,Furniture and Appliance Depreciation for Rental Owners,https://www.aetaxadvisors.com/blog/can-i-deduct-furniture-and-supplies-for-my-airbnb/,expanded,implemented
54,Bonus Depreciation for Rental Property Owners,https://www.aetaxadvisors.com/blog/bonus-depreciation-2025-2026-real-estate-investors/,expanded,implemented
55,Section 179 Versus Bonus Depreciation for Rental Assets,https://www.aetaxadvisors.com/section-179-vs-bonus-depreciation-2026/,expanded,implemented
56,Depreciation Recapture After Cost Segregation,https://www.aetaxadvisors.com/blog/what-happens-to-depreciation-when-i-sell-after-cost-segregation/,expanded,implemented
57,Should You Do Cost Segregation Before Selling a Rental?,https://www.aetaxadvisors.com/cost-segregation-before-selling-property/,expanded,implemented
58,Selling a Rental: Taxable Gain Versus Cash at Closing,https://www.aetaxadvisors.com/blog/rental-property-selling-costs-gain/,expanded,implemented
59,1031 Exchanges After a Cost Segregation Study,https://www.aetaxadvisors.com/blog/cost-segregation-vs-1031-exchange/,expanded,implemented
60,Inherited and Gifted Rental Property: Basis Differences,https://www.aetaxadvisors.com/blog/rental-property-gifted-property-basis/,expanded,implemented
61,Tax Planning for Business Owners Who Also Own Rentals,https://www.aetaxadvisors.com/real-estate-tax-planning/,expanded,implemented
62,Owning Your Business Premises Through a Separate Entity,https://www.aetaxadvisors.com/blog/business-premises-separate-property-entity/,new,implemented
63,Self-Rental Rules for Business Owners,https://www.aetaxadvisors.com/blog/self-rental-rules-business-rents-from-you/,expanded,implemented
64,Can Rental Losses Offset Business Income?,https://www.aetaxadvisors.com/blog/rental-losses-offset-business-income/,new,implemented
65,Coordinating Your Business and Rental Tax Returns,https://www.aetaxadvisors.com/blog/review-business-rental-tax-return-before-signing/,expanded,implemented
66,Why Rental Real Estate in an S Corporation Needs Careful Review,https://www.aetaxadvisors.com/blog/rental-real-estate-s-corporation/,new,implemented
67,C Corporations and Rental Property Ownership,https://www.aetaxadvisors.com/blog/c-corp-real-estate-investment-strategy/,rewritten,implemented
68,Buying a Building for Your Business: Tax Planning Before Closing,https://www.aetaxadvisors.com/blog/buying-building-for-business-before-closing/,new,implemented
69,Cost Segregation for an Owner-Occupied Business Property,https://www.aetaxadvisors.com/blog/cost-segregation-owner-occupied-practice-buildings/,expanded,implemented
70,Year-End Planning Across a Business and Rental Portfolio,https://www.aetaxadvisors.com/year-end-tax-planning-checklist/,expanded,implemented
71,Tax Planning Versus Tax Preparation,https://www.aetaxadvisors.com/tax-planning-vs-tax-preparation/,expanded,implemented
72,What Should a Written Tax Plan Include?,https://www.aetaxadvisors.com/blog/what-written-tax-plan-should-include/,new,implemented
73,S Corporation Versus C Corporation for a Profitable Business,https://www.aetaxadvisors.com/s-corp-vs-c-corp-vs-llc/,expanded,implemented
74,Reasonable Compensation for S Corporation Owners,https://www.aetaxadvisors.com/reasonable-compensation/,expanded,implemented
75,Accountable Plans for Business Owners,https://www.aetaxadvisors.com/accountable-plan/,expanded,implemented
76,Home Office Expenses for S Corporation Owners,https://www.aetaxadvisors.com/blog/home-office-deduction-s-corp-owners/,expanded,implemented
77,The Augusta Rule for Business Owners,https://www.aetaxadvisors.com/augusta-rule-business-owners/,expanded,implemented
78,Retirement Plan Options for Profitable Business Owners,https://www.aetaxadvisors.com/retirement-plan-tax-strategy-business-owners/,expanded,implemented
79,QBI Deduction Planning for Business Owners,https://www.aetaxadvisors.com/s-corp-qbi-deduction-maximization/,expanded,implemented
80,Quarterly Tax Planning Checklist for Business Owners,https://www.aetaxadvisors.com/year-round-business-tax-planning/,expanded,implemented
81,Questions to Ask Before Hiring a Cost Segregation Firm,https://www.aetaxadvisors.com/blog/how-to-evaluate-cost-segregation-study/,expanded,implemented
82,What Your Cost Segregation Quote Should Include,https://www.aetaxadvisors.com/blog/cost-segregation-quote-checklist/,new,implemented
83,Best Cost Segregation Providers for Residential Rental Owners,https://www.aetaxadvisors.com/compare/best-cost-segregation-companies/,rewritten,implemented
84,Cost Segregation Software Versus a Professional Study,https://www.aetaxadvisors.com/compare/diy-cost-segregation-vs-ae-tax/,rewritten,implemented
85,A Standalone Cost Segregation Study Versus Coordinated Tax Implementation,https://www.aetaxadvisors.com/ae-tax-vs-cost-seg-only-firms/,rewritten,implemented
86,How to Choose a CPA for a Short-Term Rental,https://www.aetaxadvisors.com/blog/5-signs-cpa-doesnt-understand-real-estate-tax/,expanded,implemented
87,How to Choose a Tax Advisor for a Business and Rental Portfolio,https://www.aetaxadvisors.com/compare/best-tax-advisors-real-estate/,rewritten,implemented
88,Best Tax Advisory Firms for Business Owners,https://www.aetaxadvisors.com/compare/best-proactive-tax-advisory-firms/,rewritten,implemented
89,Tax Advisor Pricing: How to Compare Engagements,https://www.aetaxadvisors.com/compare/proactive-tax-advisor-pricing-guide/,rewritten,implemented
90,Signs You Need More Than Annual Tax Preparation,https://www.aetaxadvisors.com/signs-your-cpa-is-underserving-you/,expanded,implemented
91,Residential STR Cost Segregation Worked Example,https://www.aetaxadvisors.com/case-studies/str-lake-house-cost-seg/,rewritten,implemented
92,Long-Term Rental Cost Segregation Worked Example,https://www.aetaxadvisors.com/case-studies/real-estate-professional-grouping-election/,rewritten,implemented
93,Business Owner With Rental Properties Worked Example,https://www.aetaxadvisors.com/case-studies/real-estate-agent-investment-portfolio/,rewritten,implemented
94,Missed Depreciation Correction Worked Example,https://www.aetaxadvisors.com/case-studies/str-form-3115-catchup/,rewritten,implemented
95,Residential Rental Portfolio Worked Example,https://www.aetaxadvisors.com/case-studies/str-portfolio-five-properties/,rewritten,implemented
96,S Corporation Owner Tax Planning Worked Example,https://www.aetaxadvisors.com/case-studies/consultant-six-figure-s-corp/,rewritten,implemented
97,Switching CPAs: A Business and Rental Owner Checklist,https://www.aetaxadvisors.com/blog/changing-tax-preparer-business-rental-carryforward-records/,expanded,implemented
98,Preparing for Your First Tax Advisory Call,https://www.aetaxadvisors.com/blog/discovery-call-what-to-expect-ae-tax/,expanded,implemented
99,Your Tax Plan Has Not Been Implemented: What to Do,https://www.aetaxadvisors.com/blog/tax-plan-not-implemented-next-steps/,new,implemented
100,From Tax Strategy to Filed Return: The Implementation Process,https://www.aetaxadvisors.com/blog/tax-strategy-to-filed-return-process/,new,implemented
