slug,url,industry,annualTaxSavings,headlineOutcome,keyMetric
medical-practice-c-corp-retirement-stacking,https://www.aetaxadvisors.com/case-studies/medical-practice-c-corp-retirement-stacking/,Medical Practice (Orthopedic Surgery),89000,"$89,000","Owner compensation: $680,000"
mobile-home-park-cost-seg-infrastructure,https://www.aetaxadvisors.com/case-studies/mobile-home-park-cost-seg-infrastructure/,Mobile Home Park (Manufactured Housing Community),98000,"$98,000","120 pads, $2.8M acquisition basis, 92% occupancy, $34K/pad average lot rent"
multi-entity-family-income-splitting,https://www.aetaxadvisors.com/case-studies/multi-entity-family-income-splitting/,Property Management + Cleaning Services,39000,"$39,000",Income shifted to 4 family members; combined bracket reduction + retirement
multi-entity-holding-company,https://www.aetaxadvisors.com/case-studies/multi-entity-holding-company/,"Multi-Business (Fitness, Supplements, Apparel, Digital Media)",54000,"$54,000",4 entities consolidated under holding S-Corp; single retirement plan
multi-entity-real-estate-operating,https://www.aetaxadvisors.com/case-studies/multi-entity-real-estate-operating/,Physical Therapy Practice + Rental Portfolio,83000,"$83,000",Self-rental recharacterization + REPS + management company = $83K savings
nonprofit-founder-for-profit-entities-related-party,https://www.aetaxadvisors.com/case-studies/nonprofit-founder-for-profit-entities-related-party/,Nonprofit Education Foundation + For-Profit Training & Consulting,78000,"$78,000","Founder salary $220K, $950K consulting revenue, shared facilities, 28 employees across entities"
partnership-to-s-corp,https://www.aetaxadvisors.com/case-studies/partnership-to-s-corp/,Management Consulting (Partnership),36000,"$36,000",SE tax reduced by $36K combined ($18K per partner)
physician-reps-qualification-cost-seg-combo,https://www.aetaxadvisors.com/case-studies/physician-reps-qualification-cost-seg-combo/,Medicine (Emergency Physician) + Real Estate Investments,112000,"$112,000","Physician spouse managing 8 rental units, $2.6M RE portfolio, combined income $860K"
physician-w2-str-reps,https://www.aetaxadvisors.com/case-studies/physician-w2-str-reps/,Physician (W-2) + STR Portfolio,89000,"$89,000",Spousal REPS + 3 STR cost seg studies = $89K annual savings
private-medical-practice-c-corp-defined-benefit,https://www.aetaxadvisors.com/case-studies/private-medical-practice-c-corp-defined-benefit/,Private Medical Practice (Orthopedic Surgery),168000,"$168,000","4 physician-partners, average income $680K each, 22 staff"
professional-athlete-entity-setup-real-estate-offset,https://www.aetaxadvisors.com/case-studies/professional-athlete-entity-setup-real-estate-offset/,Professional Sports (NFL) + Real Estate Investments,174000,"$174,000","$3M income, $1.8M real estate portfolio, 4 rental properties, career window 5-7 years"
real-estate-broker-team-entity,https://www.aetaxadvisors.com/case-studies/real-estate-broker-team-entity/,Real Estate Brokerage,52000,"$52,000",Commission restructured through S-Corp; group health plan added
restaurant-cost-seg-tip-credit,https://www.aetaxadvisors.com/case-studies/restaurant-cost-seg-tip-credit/,Restaurant (2 Locations),94000,"$94,000",Cost seg on 2 buildings + FICA tip credit = $94K annual savings
restaurant-group-multi-entity-optimization,https://www.aetaxadvisors.com/case-studies/restaurant-group-multi-entity-optimization/,Restaurant Group (Full-Service Dining),134000,"$134,000",85 tipped employees across locations
s-corp-late-election-relief,https://www.aetaxadvisors.com/case-studies/s-corp-late-election-relief/,Digital Marketing Agency,19000,"$19,000",Late election approved; retroactive to January 1
s-corp-multiple-businesses,https://www.aetaxadvisors.com/case-studies/s-corp-multiple-businesses/,"Multi-Business (Staffing, IT Services, Training)",67000,"$67,000",QBI deduction maximized across all entities; single retirement plan
s-corp-officer-comp-correction,https://www.aetaxadvisors.com/case-studies/s-corp-officer-comp-correction/,Professional Services (Consulting),31000,"$31,000",Officer comp ratio corrected from 3.4% to 7.3% of revenue
s-corp-payroll-setup-sole-prop,https://www.aetaxadvisors.com/case-studies/s-corp-payroll-setup-sole-prop/,Management Consulting,22000,"$22,000",Self-employment tax reduced by 62%
s-corp-qbi-threshold-optimization,https://www.aetaxadvisors.com/case-studies/s-corp-qbi-threshold-optimization/,Marketing Agency,28000,"$28,000",Taxable income reduced from $425K to $326K (below MFJ threshold)
s-corp-to-c-corp-medical,https://www.aetaxadvisors.com/case-studies/s-corp-to-c-corp-medical/,Medical Practice (Orthopedics),72000,"$72,000",Effective rate reduced from 43.3% to 29.1% through entity + benefits
saas-founder-rd-credit-s-corp-optimization,https://www.aetaxadvisors.com/case-studies/saas-founder-rd-credit-s-corp-optimization/,Software as a Service (B2B SaaS),38000,"$38,000","3 developers, $240K annual R&D spend"
self-storage-facility-cost-seg-automation,https://www.aetaxadvisors.com/case-studies/self-storage-facility-cost-seg-automation/,Self-Storage Facilities (3 Locations),126000,"$126,000","1,450 total units, $4.8M combined building basis, $420K automation equipment"
sole-prop-to-s-corp-contractor,https://www.aetaxadvisors.com/case-studies/sole-prop-to-s-corp-contractor/,General Contracting / Construction,41000,"$41,000","SE tax reduced from $44,200 to $18,400; retirement plan added"
tech-consulting-firm-ic-classification-accountable-plan,https://www.aetaxadvisors.com/case-studies/tech-consulting-firm-ic-classification-accountable-plan/,Technology Consulting (Cybersecurity & Cloud),62000,"$62,000","12 contractors, 4 W-2 employees, owner income $620K"
tech-founder-equity-comp-83b,https://www.aetaxadvisors.com/case-studies/tech-founder-equity-comp-83b/,Technology Startup (AI/ML),380000,"$380,000",83(b) election at $0.001/share; acquisition at $12/share; $380K saved
tech-startup-rd-credit-qsbs,https://www.aetaxadvisors.com/case-studies/tech-startup-rd-credit-qsbs/,SaaS / Technology Startup,45000,"$45,000",$45K annual R&D credit + $10M potential QSBS exclusion at exit
triple-net-lease-passive-income-grouping-elections,https://www.aetaxadvisors.com/case-studies/triple-net-lease-passive-income-grouping-elections/,Triple Net Lease (NNN) Commercial Real Estate,67000,"$67,000","$4M portfolio, 4 properties, NNN tenants, passive investor"
trucking-logistics-fleet-depreciation-fuel-credits,https://www.aetaxadvisors.com/case-studies/trucking-logistics-fleet-depreciation-fuel-credits/,Trucking & Logistics (Regional Freight),118000,"$118,000","42-truck fleet, $3.2M equipment basis, $680K annual fuel spend"
veterinary-practice-cost-seg-section-179,https://www.aetaxadvisors.com/case-studies/veterinary-practice-cost-seg-section-179/,Veterinary Medicine (Small Animal & Emergency),83000,"$83,000","$1.4M clinic building, $380K equipment purchases, owner age 48"
w2-couple-str-offset,https://www.aetaxadvisors.com/case-studies/w2-couple-str-offset/,W-2 Employees (Airline Pilot + Tech Executive),68000,"$68,000",$195K paper loss from STR offsets W-2 income
w2-salt-cap-ptet-workaround,https://www.aetaxadvisors.com/case-studies/w2-salt-cap-ptet-workaround/,Architectural Design Firm,23000,"$23,000",SALT deduction increased from $10K cap to $47K via PTET
